ICOUNTRY;ISO3;Latitude;Longitude;RELRECOD;UNHDI10;UNINHDI;UNINEDUC;UNPOLFRE;UNPOP10;I_RELIGION;I_REGION
Afghanistan;AFG;33.9391;67.71;7;0.349;0.50596;0.199;1;29,1;4;2
Albania;ALB;41.1533;20.1683;7;0.719;0.627;0.601;2;3,2;4;4
Algeria;DZA;27.2257;2.4929;7;0.677;0.50596;0.5;1;35,36666667;4;1
Angola;AGO;-11.2027;17.8739;2;0.403;0.242;0.207;0;19;1;1
Argentina;ARG;-38.4161;-63.6167;2;0.775;0.622;0.672;2;40,7;1;5
Armenia;ARM;40.0691;45.0382;3;0.695;0.619;0.675;2;3,1;2;2
Australia;AUS;-25.2744;133.7751;2;0.937;0.864;0.982;2;21,5;1;3
Austria;AUT;47.5162;14.5501;2;0.851;0.787;0.753;2;8,4;1;4
Azerbaijan;AZE;40.1431;47.5769;8;0.713;0.614;0.646;1;8,9;4;2
Bangladesh;BGD;23.685;90.3563;7;0.469;0.331;0.219;0;164,4;4;2
Belarus;BLR;53.7098;27.9533;3;0.732;0.664;0.683;0;9,566666667;2;4
Belgium;BEL;50.5039;4.4699;2;0.867;0.794;0.784;2;10,66666667;1;4
Belize;BLZ;17.1899;-88.4977;2;0.694;0.495;0.545;2;0,3;1;5
Benin;BEN;9.3077;2.3158;2;0.435;0.282;0.202;2;9,166666667;1;1
Bolivia;BOL;-16.2902;-63.5887;2;0.643;0.398;0.51;2;10;1;5
Bosnia and Herzegovina;BIH;43.9159;17.6791;6;0.71;0.565;0.545;0;3,766666667;4;4
Brazil;BRA;-14.235;-51.9253;2;0.699;0.509;0.47;2;195,4;1;5
Bulgaria;BGR;42.7339;25.4858;3;0.743;0.659;0.682;2;7,5;2;4
Burkina Faso;BFA;12.2383;-1.5616;6;0.305;0.195;0.107962963;1;16,3;4;1
Burundi;BDI;-3.3731;29.9189;2;0.282;0.177;0.206;2;8,5;1;1
Cambodia;KHM;12.5657;104.991;14;0.494;0.351;0.331;1;15,06666667;5;2
Cameroon;CMR;7.3697;12.3547;11;0.46;0.304;0.312;1;20;6;1
Canada;CAN;56.1304;-106.3468;2;0.888;0.812;0.834;2;33,86666667;1;6
Cape Verde;CPV;15.1194;-23.6354;2;0.534;0.50596;0.277;2;0,5;1;1
Central African Republic;CAF;6.6111;20.9394;4;0.315;0.183;0.163;1;4,5;3;1
Chad;TCD;15.4542;18.7322;6;0.295;0.179;0.118962963;1;11,5;4;1
Chile;CHL;-35.6751;-71.543;2;0.783;0.634;0.656;2;17,1;1;5
China;CHN;35.8617;104.1954;14;0.663;0.511;0.453;0;1354,066667;5;2
Colombia;COL;4.5709;-74.2973;2;0.689;0.492;0.482;2;46,26666667;1;5
Comoros;COM;-11.6455;43.3333;7;0.428;0.24;0.185;2;0,7;4;1
Congo;COD;" -0.228
-4.0383";15.8277;2;0.239;0.153;0.244;1;67,76666667;1;1
Costa Rica;CRI;9.7489;-83.7534;2;0.725;0.576;0.519;2;4,566666667;1;5
